model,val_auc,val_prauc,val_best_thr,val_best_f1
Combined-9+4 (iso),0.6652267346427503,0.30937524687747486,0.2018669843673706,0.38370925029677655
GRU-9ch (iso),0.6590710222584585,0.3033735125841705,0.20120207965373993,0.3792353687262185
Transformer-9ch (iso),0.656382637560088,0.305579363875081,0.2030848264694214,0.37389495579823195
Baseline-7F+trends (iso),0.6539795355421425,0.300921967288793,0.21147947128520558,0.3735021919142718
Baseline-3F+trends (iso),0.6462519652895231,0.2961141701604993,0.17772511848341235,0.3717182690566721
