model,val_auc,val_prauc,val_best_thr,val_best_f1
Combined-9+4,0.6653167448074815,0.3146659365341015,0.5692654252052307,0.3858582018627637
GRU-9ch,0.6593739030036023,0.30891092810103704,0.5852077007293701,0.37930406267079614
Transformer-9ch,0.6567403959575695,0.31163059914325664,0.6183278560638428,0.37635303913405493
Baseline-7F+trends,0.6541380215023063,0.3075141917310426,0.48476255481054903,0.3739339239877453
Baseline-3F+trends,0.646630104997386,0.3026834080422884,0.48161546009171124,0.3746648793565684
