model,val_auc,val_prauc,val_ece,val_brier,val_best_thr,val_best_f1
Combined-9+4 (iso),0.6624030046838685,0.3076697275195874,0.01117695436670091,0.14464350044727325,0.19485294818878174,0.38193302760231895
GRU-9ch (iso),0.6591936043495737,0.3030177898511521,0.011462567265993446,0.1450209766626358,0.20281456410884857,0.3776787244985428
Transformer-9ch (iso),0.6571533262362159,0.30600399515459814,0.013774864524331626,0.14499999582767487,0.18864469230175018,0.37531964035304793
Baseline-7F+trends (iso),0.6539795355421425,0.300921967288793,0.011811628113625081,0.1452391835728087,0.21147947128520558,0.3735021919142718
Baseline-3F+trends (iso),0.6462519652895231,0.2961141701604993,0.009281406530785245,0.1457439358241464,0.17772511848341235,0.3717182690566721
