model,val_auc,val_prauc,val_ece,val_brier,val_best_thr,val_best_f1
Combined-9+4,0.6629157421519789,0.31355238643377614,0.3185788291213187,0.2509813606739044,0.5671155452728271,0.3849015515833409
GRU-9ch,0.6595499711242239,0.3083551912254735,0.3371046797737842,0.2621505558490753,0.5718784928321838,0.3802376485303315
Transformer-9ch,0.6574354280644553,0.311551667656494,0.33559079695012517,0.2630626857280731,0.5636115074157715,0.3760783985258397
Baseline-7F+trends,0.6541380215023063,0.3075141917310426,0.2883884932965595,0.23120450248146404,0.48476255481054903,0.3739339239877453
Baseline-3F+trends,0.646630104997386,0.3026834080422884,0.29537263566332683,0.2344836873675271,0.48161546009171124,0.3746648793565684
