model,acc,f1,auc
Baseline-3F,0.7380211101830055,0.2511163483006698,0.6959191310419134
Baseline-7F,0.7320547172472148,0.25146978604763925,0.6986541154804244
GRU-3F,0.6178254124947116,0.2152975766215253,0.6638578241236064
Transformer-3F,0.6031155419111984,0.21435320391685278,0.6640687221574573
Combined-7F,0.5768091730579391,0.21628462944733512,0.6826070119593983
