model,acc,f1,auc
Combined-9+4,0.5613265658108707,0.376959686450168,0.6648336687860049
Transformer-9ch,0.5836002562459962,0.3709989578680959,0.6563867090508859
GRU-9ch,0.5778839994086631,0.3726380547824813,0.6552974103155546
Baseline-7F+trends,0.6481545360469128,0.37192118226600984,0.6541380215023063
Baseline-3F+trends,0.6567289213029124,0.37243243243243246,0.646630104997386
