,mean_abs_shap
prior_fail_rate_last3,0.043239438491466095
gap_months,0.009625364641573899
phase_prog_last3,0.008856594192553701
phase_enc,0.00749305767647455
enroll_z,0.0049712174419464
enroll_delta_last3,0.00249464028233085
intv_diversity_last5,0.0018300756459938999
enroll_slope_last3,0.00139400349671295
gap_mean_last3,0.0012684861877028499
