,mean_abs_shap
prior_fail_rate_last3,0.05935871536397288
phase_enc,0.018180979780881863
enroll_z,0.017451506781454323
gap_mean_last3,0.009294285113623225
intv_diversity_last5,0.0074401204215973505
gap_months,0.006282446685821137
phase_prog_last3,0.005957942142772225
enroll_slope_last3,0.005418656242698688
enroll_delta_last3,0.0030555299304423373
