sponsor,trial_id,label,pred_prob,phase_enc,enroll_z,gap_months,prior_fail_rate_last3,enroll_delta_last3,enroll_slope_last3,phase_prog_last3,gap_mean_last3,intv_diversity_last5
?,trial_12713,0.0,0.3412129,0.0002157627942506224,-0.013183075476627101,0.003240517875698113,0.12250907126348466,0.0,0.0,0.0,0.0021812340656549955,0.0
?,trial_75713,1.0,-0.97914,0.013412325704703108,-0.0026563691276212564,0.01365176674307266,0.0508886438049376,-0.0012943336861064004,0.00215440337318901,-0.010593753874418325,-0.0008548180455908992,-0.001578339837724343
?,trial_10612,1.0,-0.74798924,-0.0015737896482460201,0.007286065756271612,0.00559896254007525,0.0355902331779946,-0.0036949468785553398,0.0006336036202369599,0.007119434510689131,0.0016821543298149665,-0.002081811454263516
?,trial_60423,0.0,-0.46275586,0.0155227790446952,-0.004787547380586061,0.0013267085086356037,-0.016023088767738593,0.002565194550279616,0.0014482356819676273,-0.006826782807592282,0.002476854807860794,-0.002935453024983872
?,trial_85091,0.0,0.550974,-0.003565240390598774,-0.007432157652687399,-0.0028627872293717637,0.04300867683361856,0.001869174592547967,0.0003476371814946488,0.007523206860602709,-0.00012850070346743744,-0.0037209783639991657
?,trial_47894,0.0,-0.114439,0.020055799083784222,0.01243719749462627,-0.000299144739964767,0.04631187095222393,-0.004218603853302067,0.0010604041120238596,-0.007650137949781274,-0.006528508566099,-0.004247161099629011
?,trial_42843,0.0,0.44631582,-0.0067774912435561415,-0.013816323415932833,-0.0015105862307297421,0.04628827350846553,0.0036577051800426746,0.0013125618671963085,0.00600039180457596,-0.00593922551415473,0.010381027582334355
?,trial_8706,0.0,-0.27380693,-0.04334771777503192,-0.03654874972000775,-0.011985134845386642,-0.01269342190083526,0.004289741370269801,-0.008671312883016596,0.005484122261019202,-0.009435599232584434,0.013381757226306945
?,trial_37367,0.0,0.4389275,-0.04939844294451177,-0.04227924811440441,-0.011318817457689513,-0.0121250111490985,0.0004587540532244132,-0.002624307990994099,0.0014897328846993519,-0.023138432815874514,0.01468921773135662
?,trial_66556,0.0,0.6202756,-0.006564604970626533,0.009127754996763104,-0.017715876599093253,0.17591030853631837,-0.007385065843872429,0.02788479022489672,0.012689162573907366,0.024525925203290236,0.010165368344169111
