feature,mean_abs_shap
prior_fail_rate_last3,0.04285413088339184
phase_enc,0.022856920727048147
intv_diversity_last5,0.015601058512726255
enroll_z,0.013954866737402824
gap_mean_last3,0.01360098202684214
gap_months,0.011512352705946801
phase_prog_last3,0.0068819545217377
enroll_slope_last3,0.003984337918107936
enroll_delta_last3,0.0023011853043631127
